title,url,year
Timelie,https://www.mobygames.com/game/146026/timelie/,2020
TurboGrafx-16 Mini,https://www.mobygames.com/game/145970/turbografx-16-mini/,2020
Sakuna: Of Rice and Ruin,https://www.mobygames.com/game/153186/sakuna-of-rice-and-ruin/,2020
Genso Manège,https://www.mobygames.com/game/236721/genso-manege/,2020
Crossy Road: Castle,https://www.mobygames.com/game/143107/crossy-road-castle/,2020
A Monster's Expedition Through Puzzling Exhibition...,https://www.mobygames.com/game/150359/a-monsters-expedition-through-puzzling-exhibitions/,2020
Creaks,https://www.mobygames.com/game/147994/creaks/,2020
Suzerain,https://www.mobygames.com/game/155093/suzerain/,2020
The Pedestrian,https://www.mobygames.com/game/140786/the-pedestrian/,2020
Reigns: Beyond,https://www.mobygames.com/game/153099/reigns-beyond/,2020
Mount & Blade II: Bannerlord,https://www.mobygames.com/game/144059/mount-blade-ii-bannerlord/,2020
Immortals: Fenyx Rising,https://www.mobygames.com/game/155034/immortals-fenyx-rising/,2020
South of the Circle,https://www.mobygames.com/game/152747/south-of-the-circle/,2020
Gordian Quest,https://www.mobygames.com/game/150691/gordian-quest/,2020
Variable Barricade NS,https://www.mobygames.com/game/180509/variable-barricade-ns/,2020
Granblue Fantasy: Versus,https://www.mobygames.com/game/142085/granblue-fantasy-versus/,2020
Shadowverse: Champion's Battle,https://www.mobygames.com/game/169190/shadowverse-champions-battle/,2020
Rivals of Aether,https://www.mobygames.com/game/150748/rivals-of-aether/,2020
Lair of the Clockwork God,https://www.mobygames.com/game/142809/lair-of-the-clockwork-god/,2020
Going Under,https://www.mobygames.com/game/150646/going-under/,2020
Super Mario 3D All-Stars,https://www.mobygames.com/game/150138/super-mario-3d-all-stars/,2020
MLB The Show 20,https://www.mobygames.com/game/143514/mlb-the-show-20/,2020
Phoenotopia: Awakening,https://www.mobygames.com/game/149370/phoenotopia-awakening/,2020
Shadow Empire,https://www.mobygames.com/game/151658/shadow-empire/,2020
SnowRunner,https://www.mobygames.com/game/145044/snowrunner/,2020
Myst,https://www.mobygames.com/game/158543/myst/,2020
UnderMine,https://www.mobygames.com/game/149035/undermine/,2020
Pillars of Eternity II: Deadfire - Ultimate Editio...,https://www.mobygames.com/game/143311/pillars-of-eternity-ii-deadfire-ultimate-edition/,2020
Overcooked!: All You Can Eat,https://www.mobygames.com/game/153414/overcooked-all-you-can-eat/,2020
Cyberpunk 2077 (Collector's Edition),https://www.mobygames.com/game/153627/cyberpunk-2077-collectors-edition/,2020
Disc Room,https://www.mobygames.com/game/151511/disc-room/,2020
Spelunky 2,https://www.mobygames.com/game/150492/spelunky-2/,2020
Retro Bowl,https://www.mobygames.com/game/179494/retro-bowl/,2020
ScourgeBringer,https://www.mobygames.com/game/124336/scourgebringer/,2020
Birushana: Rising Flower of Genpei,https://www.mobygames.com/game/187443/birushana-rising-flower-of-genpei/,2020
Doom Eternal: The Ancient Gods - Part One,https://www.mobygames.com/game/151814/doom-eternal-the-ancient-gods-part-one/,2020
Bloodstained: Curse of the Moon 2,https://www.mobygames.com/game/147502/bloodstained-curse-of-the-moon-2/,2020
Pumpkin Jack,https://www.mobygames.com/game/151934/pumpkin-jack/,2020
DiRT 5,https://www.mobygames.com/game/152840/dirt-5/,2020
Dysmantle,https://www.mobygames.com/game/152898/dysmantle/,2020
Good Job!,https://www.mobygames.com/game/143809/good-job/,2020
Amnesia: Rebirth,https://www.mobygames.com/game/151786/amnesia-rebirth/,2020
Monster Train,https://www.mobygames.com/game/145833/monster-train/,2020
Evergate,https://www.mobygames.com/game/149504/evergate/,2020
The Pathless,https://www.mobygames.com/game/153320/the-pathless/,2020
Resident Evil 3,https://www.mobygames.com/game/140612/resident-evil-3/,2020
Vitamin Connection,https://www.mobygames.com/game/142472/vitamin-connection/,2020
Journey to the Savage Planet,https://www.mobygames.com/game/140616/journey-to-the-savage-planet/,2020
Ikenfell,https://www.mobygames.com/game/150933/ikenfell/,2020
If Found...,https://www.mobygames.com/game/145742/if-found/,2020
Mr. Driller: Drill Land,https://www.mobygames.com/game/146393/mr-driller-drill-land/,2020
Paper Mario: The Origami King,https://www.mobygames.com/game/145527/paper-mario-the-origami-king/,2020
KartRider Rush+,https://www.mobygames.com/game/166448/kartrider-rush/,2020
Helltaker,https://www.mobygames.com/game/145450/helltaker/,2020
Heroes of Hammerwatch: Ultimate Edition,https://www.mobygames.com/game/148557/heroes-of-hammerwatch-ultimate-edition/,2020
Tainted Grail: Conquest,https://www.mobygames.com/game/151371/tainted-grail-conquest/,2020
Curious Expedition 2,https://www.mobygames.com/game/146904/curious-expedition-2/,2020
Anno 1404: History Edition,https://www.mobygames.com/game/147934/anno-1404-history-edition/,2020
ITTA,https://www.mobygames.com/game/144507/itta/,2020
Necrobarista,https://www.mobygames.com/game/148295/necrobarista/,2020
Neon Abyss,https://www.mobygames.com/game/147791/neon-abyss/,2020
Altdeus: Beyond Chronos,https://www.mobygames.com/game/158544/altdeus-beyond-chronos/,2020
Space Invaders: Invincible Collection,https://www.mobygames.com/game/143691/space-invaders-invincible-collection/,2020
The Jackbox Party Pack 7,https://www.mobygames.com/game/151227/the-jackbox-party-pack-7/,2020
