moby_id,platform,Business Model,min_os,supported_system,min_ram,supported_drivers,media_type,gamepads_Supported
230048,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,,Download,
190774,PlayStation 5+,Commercial,,,,,Download; UHD Blu-ray Disc,DualSense Controller
210676,Windows+,Commercial,Windows 7,x64 (64-bit),4 GB,,,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
198497,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,Direct3D,Download,
195765,Linux+,Commercial,,,6 GB,,Download,
195765,Macintosh+,Commercial,macOS 10.15 (Catalina),,4 GB,,Download,
195765,Nintendo Switch+,Commercial,,,,,Download,
195765,PlayStation 4+,Commercial,,,,,Download,DualShock 4
195765,Windows+,Commercial,Windows 7,,4 GB,,Download,
195765,Windows Apps+,Commercial,Windows 10,x64 (64-bit),4 GB,,,
195765,Xbox One+,Commercial,,,,,Download,
195765,Xbox Series+,Commercial,,,,,Download,
210733,PlayStation 5+,Commercial,,,,,Download; UHD Blu-ray Disc,DualSense Controller
210733,Windows+,Commercial,Windows 10,x64 (64-bit),16 GB,,Download,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
194057,Macintosh+,Commercial,macOS 10.15 (Catalina),x64 (64-bit),8 GB,,Download,
194057,Windows+,Commercial,Windows 7,x64 (64-bit),8 GB,,Download,
225958,Windows+,Commercial,Windows 10,,6 GB,,,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
176849,PlayStation 4+,Commercial,,,,,Download,DualShock 4
176849,PlayStation 5+,Commercial,,,,,Download; UHD Blu-ray Disc,DualSense Controller
176849,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,Direct3D,Download,
230810,Windows+,Commercial,Windows 10,x64 (64-bit),,,Download,DualSense Controller; Xbox One/Series Wireless Controller
153477,PlayStation 5+,Commercial,,,,,Download; UHD Blu-ray Disc,
245849,Windows+,Commercial,Windows 10,x64 (64-bit),6 GB,,Download,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
248605,Windows+,Commercial,Windows 10,x64 (64-bit),6 GB,,Download,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
198508,Windows+,Commercial,Windows 10,x64 (64-bit),16 GB,Direct3D,Download,
210927,Windows+,Commercial,Windows 10,,16 GB,,Download,
207900,Nintendo Switch+,Commercial,,,,,Download; Game Card,
207900,PlayStation 5+,Commercial,,,,,Download; UHD Blu-ray Disc,
207900,Windows+,Commercial,Windows 7,x64 (64-bit),4 GB,,Download,
207900,Windows Apps+,Commercial,Windows 10,x64 (64-bit),4 GB,,,
216878,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,,Download,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
172725,PlayStation 5+,Commercial,,,,,Download,DualSense Controller
172725,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,Direct3D,Download,
172725,Windows Apps+,Commercial,Windows 10,x64 (64-bit),,,,
172725,Xbox Series+,Commercial,,,,,Download,Xbox One/Series Wireless Controller
219115,Nintendo Switch+,Commercial,,,,,Download; Game Card,
158999,Nintendo Switch+,Commercial,,,,,Download; Game Card,
216448,Windows+,Commercial,Windows 10,x64 (64-bit),16 GB,,Download,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
141533,Nintendo Switch+,Commercial,,,,,Download; Game Card,
150140,Xbox One+,Commercial,,,,,Download,
166282,PlayStation 5+,Commercial,,,,,Download; UHD Blu-ray Disc,DualSense Controller
166282,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,,Download,
211252,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,Direct3D,Download,
216014,Nintendo Switch+,Commercial,,,,,Download; Game Card,
216014,PlayStation 5+,Commercial,,,,,Download; UHD Blu-ray Disc,
216014,Windows+,Commercial,Windows 10,x64 (64-bit),2 GB,,Download,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
216014,Xbox One+,Commercial,,,,,Blu-Ray Disc,
216014,Xbox Series+,Commercial,,,,,Blu-Ray Disc,
143581,PlayStation 4+,Commercial,,,,,Blu-Ray Disc; Download,DualShock 4
143581,PlayStation 5+,Commercial,,,,,Download,DualSense Controller
143581,Windows+,Commercial,Windows 7,x64 (64-bit),8 GB,Vulkan,Download,
143581,Xbox One+,Commercial,,,,,Download,
194426,Windows+,Commercial,Windows 7 SP1,x64 (64-bit),4 GB,,Download,
231515,PlayStation 5+,Commercial,,,,,Download; UHD Blu-ray Disc,DualSense Controller
231515,Windows+,Commercial,Windows 10,x64 (64-bit),16 GB,,Download,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
199777,Nintendo Switch+,Commercial,,,,,Download; Game Card,
199777,PlayStation 4+,Commercial,,,,,Blu-Ray Disc; Download,DualShock 4
196112,Windows+,Commercial,Windows XP SP3,x64 (64-bit),4 GB,,Download,
195171,Nintendo Switch+,Commercial,,,,,Download,
195171,PlayStation 4+,Commercial,,,,,Download,DualShock 4
195171,PlayStation 5+,Commercial,,,,,Download,DualSense Controller
195171,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,,Download,Xbox One/Series Wireless Controller
195171,Xbox One+,Commercial,,,,,Download,
195171,Xbox Series+,Commercial,,,,,Download,
178917,PlayStation 5+,Commercial,,,,,Download; UHD Blu-ray Disc,DualSense Controller
234173,Windows+,Commercial,Windows 10,x64 (64-bit),16 GB,,Download,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
236760,Macintosh+,Commercial,Mac OS X 10.10.5,x64 (64-bit),4 GB,,Download,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
236760,Windows+,Commercial,Windows 10,x64 (64-bit),4 GB,,Download,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
193002,Nintendo Switch+,Commercial,,,,,Download; Game Card,
173968,Windows+,Commercial,Windows 7,,4 GB,,,
173968,Windows Apps+,Commercial,Windows 10,x64 (64-bit),4 GB,,,
173968,Xbox One+,Commercial,,,,,Download,Xbox One/Series Wireless Controller
173968,Xbox Series+,Commercial,,,,,Download,Xbox One/Series Wireless Controller
223635,Nintendo Switch+,Commercial,,,,,Download,
223635,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,,Download,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
163431,PlayStation 5+,Commercial,,,,,Download; UHD Blu-ray Disc,DualSense Controller
181802,Nintendo Switch+,Commercial,,,,,Download; Game Card,
209564,Nintendo Switch+,Commercial,,,,,Download,
209564,PlayStation 4+,Commercial,,,,,Download,DualShock 4
209564,PlayStation 5+,Commercial,,,,,Download,DualSense Controller
209564,Windows+,Commercial,Windows 10,x64 (64-bit),6 GB,,Download,
209564,Windows Apps+,Commercial,Windows 10,x64 (64-bit),,,,
209564,Xbox One+,Commercial,,,,,Download,Xbox One/Series Wireless Controller
209564,Xbox Series+,Commercial,,,,,Download,Xbox One/Series Wireless Controller
146988,PlayStation 4+,Commercial,,,,,Blu-Ray Disc; Download,DualShock 4
242779,Windows+,Commercial,Windows 10,x64 (64-bit),4 GB,,Download,DualShock 4; Xbox One/Series Wireless Controller
232022,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,,Download,DualSense Controller; Xbox One/Series Wireless Controller
145442,Macintosh+,Commercial,,,,,Download,
145442,Nintendo Switch+,Commercial,,,,,Download,
145442,PlayStation 4+,Commercial,,,,,Download,DualShock 4
145442,Windows+,Commercial,Windows 7,x86 (32-bit),2 GB,,Download,
145442,Xbox One+,Commercial,,,,,Download,
180087,Nintendo Switch+,Commercial,,,,,Download,
180087,PlayStation 4+,Commercial,,,,,Download,
180087,Xbox Series+,Commercial,,,,,Download,Xbox One/Series Wireless Controller
145915,Nintendo Switch+,Commercial,,,,,Download; Game Card,
240340,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,,Download,Xbox One/Series Wireless Controller
186311,Windows+,Commercial,,x64 (64-bit),6 GB,,Download,
224086,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,,Download,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
230832,Macintosh+,Commercial,macOS 10.14.5,x64 (64-bit),8 GB,,Download,
230832,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,Direct3D,Download,Xbox One/Series Wireless Controller
169609,Nintendo Switch+,Commercial,,,,,Download,
169609,PlayStation 4+,Commercial,,,,,Download,DualShock 4
169609,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,,Download,Xbox One/Series Wireless Controller
169609,Windows Apps+,Commercial,Windows 10,x64 (64-bit),8 GB,,,
169609,Xbox One+,Commercial,,,,,Download,
169609,Xbox Series+,Commercial,,,,,Download,
